30
0	 PRL	 1	 69	 48	 118	 39.333332
1	 JCS	 71	 21	 2	 94	 31.333334
2	 EZB	 71	 98	 44	 213	 71.000000
3	 MKH	 67	 59	 83	 209	 69.666664
4	 SFJ	 20	 89	 74	 183	 61.000000
5	 LDW	 52	 21	 23	 96	 32.000000
6	 YHG	 1	 51	 26	 78	 26.000000
7	 PVZ	 52	 12	 93	 157	 52.333332
8	 GUC	 5	 14	 41	 60	 20.000000
9	 AUU	 51	 22	 16	 89	 29.666666
10	 JAV	 86	 30	 75	 191	 63.666668
11	 QKJ	 52	 72	 14	 138	 46.000000
12	 AJV	 33	 91	 63	 187	 62.333332
13	 CRU	 30	 36	 83	 149	 49.666668
14	 RLW	 93	 30	 19	 142	 47.333332
15	 XZX	 8	 69	 31	 108	 36.000000
16	 YYU	 46	 0	 99	 145	 48.333332
17	 QDQ	 15	 22	 72	 109	 36.333332
18	 RUU	 87	 67	 26	 180	 60.000000
19	 WLT	 6	 15	 62	 83	 27.666666
20	 MJJ	 73	 0	 19	 92	 30.666666
21	 RWH	 61	 12	 29	 102	 34.000000
22	 WSH	 84	 85	 41	 210	 70.000000
23	 NCK	 93	 33	 22	 148	 49.333332
24	 QAQ	 36	 66	 62	 164	 54.666668
25	 UVF	 68	 60	 81	 209	 69.666664
26	 CRD	 40	 9	 50	 99	 33.000000
27	 LTK	 10	 85	 33	 128	 42.666668
28	 QUQ	 76	 64	 63	 203	 67.666664
29	 PDH	 8	 85	 1	 94	 31.333334
