30
0	 UIJ	 68	 60	 49	 177	 59.000000
1	 PCW	 99	 36	 13	 148	 49.333332
2	 YWA	 64	 92	 20	 176	 58.666668
3	 UPP	 95	 87	 81	 263	 87.666664
4	 NJS	 11	 14	 71	 96	 32.000000
5	 TNC	 46	 69	 16	 131	 43.666668
6	 ZSV	 39	 43	 9	 91	 30.333334
7	 MXB	 70	 77	 77	 224	 74.666664
8	 AOS	 76	 100	 63	 239	 79.666664
9	 RLT	 90	 29	 33	 152	 50.666668
10	 CVB	 60	 99	 49	 208	 69.333336
11	 FGR	 45	 22	 16	 83	 27.666666
12	 NFK	 5	 39	 18	 62	 20.666666
13	 ELK	 1	 62	 62	 125	 41.666668
14	 ZGN	 65	 8	 18	 91	 30.333334
15	 NIH	 43	 66	 31	 140	 46.666668
16	 ZGR	 66	 11	 79	 156	 52.000000
17	 OKS	 16	 21	 100	 137	 45.666668
18	 FDY	 15	 2	 92	 109	 36.333332
19	 QNK	 17	 0	 5	 22	 7.333333
20	 SFR	 77	 23	 82	 182	 60.666668
21	 WEL	 36	 50	 90	 176	 58.666668
22	 HNE	 17	 77	 92	 186	 62.000000
23	 HOL	 97	 43	 24	 164	 54.666668
24	 PQB	 48	 87	 51	 186	 62.000000
25	 IVJ	 38	 16	 2	 56	 18.666666
26	 RLJ	 36	 23	 59	 118	 39.333332
27	 XXV	 15	 89	 64	 168	 56.000000
28	 UMH	 25	 72	 56	 153	 51.000000
29	 LVE	 19	 54	 100	 173	 57.666668
